DonorId,Potential Duplicates
78670.0,"[3381.0, 74679.0]"
3381.0,"[2881.0, 78670.0, 74679.0]"
74679.0,"[74153.0, 3381.0, 68853.0, 78670.0]"
86934.0,[53866.0]
53866.0,[86934.0]
26334.0,[74211.0]
87004.0,[74621.0]
74621.0,[87004.0]
86984.0,[36733.0]
36733.0,[86984.0]
47112.0,[47861.0]
47861.0,"[47112.0, 31807.0]"
85504.0,"[84208.0, 74049.0, 46754.0, 67303.0]"
84208.0,"[85504.0, 46754.0, 81267.0, 50655.0]"
74049.0,"[85504.0, 67303.0]"
67303.0,"[85504.0, 74049.0]"
46754.0,"[85504.0, 50655.0, 84208.0, 81267.0]"
76624.0,[77455.0]
77455.0,"[76624.0, 21754.0, 38013.0, 45934.0]"
17268.0,"[10691.0, 14918.0, 17946.0, 30741.0, 12730.0]"
14918.0,"[17946.0, 17268.0, 30741.0]"
17946.0,"[17268.0, 30741.0, 14918.0, 10631.0]"
30741.0,"[14918.0, 10631.0, 12134.0, 13614.0, 17268.0, 17946.0]"
12730.0,"[6105.0, 17268.0, 12733.0, 11085.0]"
74367.0,"[77985.0, 86352.0, 86321.0, 78100.0, 29562.0]"
77985.0,"[86352.0, 78100.0, 74367.0]"
86352.0,"[77985.0, 29562.0, 78100.0, 74367.0]"
86321.0,"[46841.0, 29562.0, 74367.0]"
29562.0,"[86352.0, 86321.0, 35398.0, 74367.0]"
86931.0,[19576.0]
19576.0,[86931.0]
34201.0,[23486.0]
23486.0,[34201.0]
87022.0,[11973.0]
11973.0,[87022.0]
86945.0,"[25125.0, 43063.0]"
25125.0,[86945.0]
43063.0,[86945.0]
74448.0,[74565.0]
74565.0,[74448.0]
87123.0,[28124.0]
28124.0,[87123.0]
32028.0,[32477.0]
32477.0,[32028.0]
77995.0,[38062.0]
38062.0,"[23937.0, 76452.0, 7013.0, 44869.0, 77995.0]"
8250.0,"[23322.0, 52228.0]"
52228.0,[8250.0]
23322.0,[8250.0]
67356.0,[16188.0]
74461.0,[38043.0]
38043.0,"[18104.0, 74411.0, 74461.0]"
23574.0,[20714.0]
20714.0,[23574.0]
76663.0,[10730.0]
10730.0,[76663.0]
35371.0,"[9305.0, 3921.0]"
9305.0,"[14914.0, 35371.0, 3921.0, 16662.0, 46328.0, 3675.0]"
78073.0,[22631.0]
22631.0,[78073.0]
86948.0,[67406.0]
67406.0,[86948.0]
87322.0,"[81754.0, 81690.0, 25852.0, 81725.0]"
25852.0,"[87322.0, 78027.0]"
81725.0,"[81729.0, 3425.0, 81707.0, 67897.0, 87322.0]"
81690.0,"[87322.0, 81707.0, 81756.0]"
81754.0,"[81729.0, 84003.0, 2789.0, 81652.0, 81654.0, 87322.0]"
49833.0,[77427.0]
77427.0,[49833.0]
6615.0,"[4984.0, 12134.0]"
87363.0,[875.0]
875.0,[87363.0]
23037.0,"[19436.0, 21918.0, 72735.0]"
72735.0,"[23037.0, 21918.0]"
19436.0,[23037.0]
21918.0,"[23037.0, 72735.0]"
87354.0,[74583.0]
74583.0,[87354.0]
69863.0,"[20518.0, 78681.0, 10380.0, 74726.0]"
78681.0,"[20518.0, 74726.0, 69863.0, 10380.0, 20503.0]"
74726.0,"[78681.0, 10380.0, 69863.0]"
