RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
Mr Chris Skidmore MP,3600.0,1,3600.0,Single Donation Entity
Mr Chris White MP,2200.0,1,2200.0,Single Donation Entity
Mr Christopher Beazley MEP,3933.9,1,3933.9,Single Donation Entity
Mr Christopher Green,34216.82,4,8554.205,Very Small Entity
Mr Christopher Heaton-Harris MEP,3933.9,1,3933.9,Single Donation Entity
Mr Christopher Pincher,7143.0,3,2381.0,Very Small Entity
Mr Christopher Pincher MP,10775.0,3,3591.6666666666665,Very Small Entity
Mr Christopher Ruane MP,12045.2,3,4015.066666666667,Very Small Entity
Mr Christopher Stalford,5872.43,1,5872.43,Single Donation Entity
Mr Chuka Umunna MP,286778.16,33,8690.247272727273,Very Small Entity
Mr Clive Betts MP,10345.2,2,5172.6,Very Small Entity
Mr Clive Lewis MP,121033.0,17,7119.588235294118,Very Small Entity
Mr Colin Burgon MP,3674.35,3,1224.7833333333333,Very Small Entity
Mr Colin Challen MP,7630.0,4,1907.5,Very Small Entity
Mr Colin Edward Breed MP,11595.2,3,3865.066666666667,Very Small Entity
Mr Colin McGrath,6100.0,1,6100.0,Single Donation Entity
Mr Conor Burns MP,24734.75,9,2748.3055555555557,Very Small Entity
Mr Conor Keenan,1887.89,1,1887.89,Single Donation Entity
